PDB ID,Protein Name
2VW8,crystal structure of quinolone signal response protein pqse from pseudomonas aeruginosa
1KGO,"r2f from corynebacterium ammoniagenes in its reduced, fe containing, form"
4QDD,"crystal structure of 3-ketosteroid-9-alpha-hydroxylase 5 (ksha5) from r. rhodochrous in complex with 1,4-30q-coa"
4NM6,crystal structure of tet2-dna complex
1KGO,"r2f from corynebacterium ammoniagenes in its reduced, fe containing, form"
1VZ4,fe-succinate complex of atsk
4QDF,"crystal structure of apo ksha5 and ksha1 in complex with 1,4-30q-coa from r. rhodochrous"
4GHC,"structure of y257f variant of homoprotocatechuate 2,3-dioxygenase from b.fuscum at 1.55 ang resolution"
3WR9,crystal structure of the anaerobic desb-gallate complex
1LKO,crystal structure of desulfovibrio vulgaris rubrerythrin all-iron(ii) form
3OVP,crystal structure of hrpe
2YU2,crystal structure of hjhdm1a without a-ketoglutarate
1E5H,delta-r307a deacetoxycephalosporin c synthase complexed with succinate and carbon dioxide
1UO9,deacetoxycephalosporin c synthase complexed with succinate
3NJZ,"crystal structure of salicylate 1,2-dioxygenase from pseudoaminobacter salicylatoxidans adducts with salicylate"
4F30,structure of rpe65: p6522 crystal form grown in ammonium phosphate solution
1JR7,crystal structure of gab reveals oxidoreductase fold
1RRL,soybean lipoxygenase (lox-3) at 93k at 2.0 a resolution
1W5C,photosystem ii from thermosynechococcus elongatus
1MMK,crystal structure of ternary complex of the catalytic domain of human phenylalanine hydroxylase ((feii)) complexed with tetrahydrobiopterin and thienylalanine
